Date,Price,Open,High,Low,Vol.,Change %
14-Aug-20,336.84,336.41,337.42,335.62,47.26M,0.00%
13-Aug-20,336.83,337.02,338.25,335.85,41.82M,-0.18%
12-Aug-20,337.44,335.56,338.28,335.56,53.83M,1.39%
11-Aug-20,332.8,336.95,337.52,332.05,69.60M,-0.83%
10-Aug-20,335.57,335.05,335.76,332.98,44.28M,0.30%
9-Aug-20,334.57,334.57,334.57,334.57,-,0.00%
8-Aug-20,334.57,334.57,334.57,334.57,-,0.00%
7-Aug-20,334.57,333.28,334.68,332.3,57.31M,0.07%
6-Aug-20,334.33,331.47,334.46,331.15,43.68M,0.67%
5-Aug-20,332.11,331.47,332.39,331.19,42.87M,0.62%
4-Aug-20,330.06,328.06,330.06,327.96,41.92M,0.39%
3-Aug-20,328.79,328.36,329.61,327.74,53.08M,0.70%
2-Aug-20,326.52,326.52,326.52,326.52,-,0.00%
31-Jul-20,326.52,325.9,326.63,321.33,85.21M,0.79%
30-Jul-20,323.96,321.8,324.4,319.69,61.86M,-0.36%
29-Jul-20,325.12,322.12,325.73,322.08,48.45M,1.23%
28-Jul-20,321.17,323.22,323.64,320.87,57.49M,-0.63%
27-Jul-20,323.22,321.45,323.39,320.8,48.29M,0.73%
26-Jul-20,320.88,320.88,320.88,320.88,-,0.00%
25-Jul-20,320.88,320.88,320.88,320.88,-,0.00%
24-Jul-20,320.88,320.73,321.99,319.28,73.77M,-0.64%
23-Jul-20,322.96,326.42,327.22,321.52,75.74M,-1.19%
22-Jul-20,326.86,325.01,327.12,324.55,57.79M,0.57%
21-Jul-20,325.01,326.32,326.91,323.97,57.50M,0.21%
20-Jul-20,324.32,321.36,325,320.81,56.31M,0.81%
17-Jul-20,321.72,321.88,322.57,319.73,62.78M,0.29%
16-Jul-20,320.79,319.75,321.26,319.09,54.62M,-0.33%
15-Jul-20,321.85,322.61,323.01,319.29,87.20M,0.92%
14-Jul-20,318.92,313.29,319.28,312.05,93.66M,1.30%
13-Jul-20,314.84,320.24,322.69,314.19,103.00M,-0.87%
12-Jul-20,317.59,317.59,317.59,317.59,-,0.00%
11-Jul-20,317.59,317.59,317.59,317.59,-,0.00%
10-Jul-20,317.59,314.4,317.85,312.81,57.55M,1.02%
9-Jul-20,314.38,316.87,317.09,310.73,83.35M,-0.57%
8-Jul-20,316.18,314.62,316.27,312.7,54.64M,0.76%
